"No. overall";"No. in season";Title;Directed by;Written by;Original air date;"U.S. viewers (millions)"
36;27;"""Losing My Religion""";Mark Tinker;Shonda Rhimes;May 15, 2006;22.50
37;1;"""Time Has Come Today""";Daniel Minahan;Shonda Rhimes;September 21, 2006;25.41
38;2;"""I Am a Tree""";Jeff Melman;Krista Vernoff;September 28, 2006;23.48
39;3;"""Sometimes a Fantasy""";Adam Arkin;Debora Cahn;October 5, 2006;22.80
40;4;"""What I Am""";Dan Lerner;Allan Heinberg;October 12, 2006;22.88
41;5;"""Oh, the Guilt""";Jeff Melman;Zoanne Clack & Tony Phelan & Joan Rater;October 19, 2006;22.05
42;6;"""Let the Angels Commit""";Jessica Yu;Stacy McKee;November 2, 2006;21.02
43;7;"""Where the Boys Are""";Daniel Minahan;Mark Wilding;November 9, 2006;20.65
44;8;"""Staring at the Sun""";Jeff Melman;Gabrielle Stanton & Harry Werksman, Jr.;November 16, 2006;20.92
45;9;"""From a Whisper to a Scream""";Julie Anne Robinson;Kip Koenig;November 23, 2006;18.51
46;10;"""Don't Stand So Close to Me""";Seith Mann;Carolina Paiz;November 30, 2006;24.01
47;11;"""Six Days (Part 1)""";Greg Yaitanes;Krista Vernoff;January 11, 2007;23.03
48;12;"""Six Days (Part 2)""";Greg Yaitanes;Krista Vernoff;January 18, 2007;21.94
49;13;"""Great Expectations""";Michael Grossman;Eric Buchman;January 25, 2007;21.50
50;14;"""Wishin' and Hopin'""";Julie Anne Robinson;Tony Phelan & Joan Rater;February 1, 2007;24.18
51;15;"""Walk on Water""";Rob Corn;Shonda Rhimes;February 8, 2007;25.20
52;16;"""Drowning on Dry Land""";Rob Corn;Shonda Rhimes;February 15, 2007;25.76
53;17;"""Some Kind of Miracle""";Adam Arkin;Shonda Rhimes & Marti Noxon;February 22, 2007;27.39
54;18;"""Scars and Souvenirs""";James Frawley;Debora Cahn;March 15, 2007;22.68
55;19;"""My Favorite Mistake""";Tamra Davis;Chris Van Dusen;March 22, 2007;22.30
56;20;"""Time After Time""";Christopher Misiano;Stacy McKee;April 19, 2007;21.12
57;21;"""Desire""";Tom Verica;Mark Wilding;April 26, 2007;20.08
58;"22";"""The Other Side of This Life""";Michael Grossman;Shonda Rhimes;May 3, 2007;21.23
60;24;"""Testing 1-2-3""";Christopher Misiano;Allan Heinberg;May 10, 2007;19.58
61;25;"""Didn't We Almost Have It All?""";Rob Corn;Tony Phelan & Joan Rater;May 17, 2007;22.57
62;1;"""A Change Is Gonna Come""";Rob Corn;Shonda Rhimes;September 27, 2007;20.93
63;2;"""Love/Addiction""";James Frawley;Debora Cahn;October 4, 2007;18.51
64;3;"""Let the Truth Sting""";Daniel Minahan;Mark Wilding;October 11, 2007;19.04
65;4;"""The Heart of the Matter""";Randall Zisk;Allan Heinberg;October 18, 2007;18.04
66;5;"""Haunt You Every Day""";Bethany Rooney;Krista Vernoff;October 25, 2007;18.17
67;6;"""Kung Fu Fighting""";Tom Verica;Stacy McKee;November 1, 2007;19.31
68;7;"""Physical Attraction, Chemical Reaction""";Jeff Melman;Tony Phelan & Joan Rater;November 8, 2007;19.50
69;8;"""Forever Young""";Rob Corn;Mark Wilding;November 15, 2007;19.61
70;9;"""Crash Into Me (Part 1)""";Michael Grossman;Shonda Rhimes & Krista Vernoff;November 22, 2007;14.11
71;10;"""Crash Into Me (Part 2)""";Jessica Yu;Shonda Rhimes & Krista Vernoff;December 6, 2007;17.78
72;11;"""Lay Your Hands on Me""";John Terlesky;Allan Heinberg;January 10, 2008;17.68
73;12;"""Where the Wild Things Are""";Rob Corn;Zoanne Clack;April 24, 2008;16.37
74;13;"""Piece of My Heart""";Mark Tinker;Stacy McKee;May 1, 2008;15.31
75;14;"""The Becoming""";Julie Anne Robinson;Tony Phelan & Joan Rater;May 8, 2008;16.03
76;15;"""Losing My Mind""";James Frawley;Debora Cahn;May 15, 2008;15.55
77;16;"""Freedom""";Rob Corn;Shonda Rhimes;May 22, 2008;18.09
79;1;"""Dream a Little Dream of Me""";"Rob Corn Michael Pressman";Shonda Rhimes;September 25, 2008;18.30
81;3;"""Here Comes the Flood""";Michael Pressman;Krista Vernoff;October 9, 2008;14.54
82;4;"""Brave New World""";Eric Stoltz;Debora Cahn;October 16, 2008;14.57
83;5;"""There's No 'I' in Team""";Randy Zisk;Jenna Bans;October 23, 2008;14.21
84;6;"""Life During Wartime""";James Frawley;Mark Wilding;October 30, 2008;15.05
85;7;"""Rise Up""";Joanna Kerns;William Harper;November 6, 2008;15.63
86;8;"""These Ties That Bind""";Eric Stoltz;Stacy McKee;November 13, 2008;15.59
87;9;"""In the Midnight Hour""";Tom Verica;Tony Phelan & Joan Rater;November 20, 2008;15.74
88;10;"""All By Myself""";Arlene Sanford;Peter Nowalk;December 4, 2008;15.15
89;11;"""Wish You Were Here""";Rob Corn;Debora Cahn;January 8, 2009;13.71
90;12;"""Sympathy for the Devil""";Jeannot Szwarc;Jenna Bans;January 15, 2009;12.95
91;13;"""Stairway to Heaven""";Allison Liddi-Brown;Mark Wilding;January 22, 2009;14.25
92;14;"""Beat Your Heart Out""";Julie Anne Robinson;William Harper;February 5, 2009;15.20
93;15;"""Before and After""";Dan Attias;Tony Phelan & Joan Rater;February 12, 2009;15.70
94;16;"""An Honest Mistake""";Randy Zisk;Peter Nowalk;February 19, 2009;15.39
95;17;"""I Will Follow You Into the Dark""";James Frawley;Jenna Bans;March 12, 2009;13.54
96;18;"""Stand By Me""";Jessica Yu;Zoanne Clack;March 19, 2009;14.36
97;19;"""Elevator Love Letter""";Edward Ornelas;Stacy McKee;March 26, 2009;15.81
98;20;"""Sweet Surrender""";Tony Phelan;Sonay Washington;April 23, 2009;13.22
99;21;"""No Good at Saying Sorry (One More Chance)""";Tom Verica;Krista Vernoff;April 30, 2009;13.94
100;22;"""What a Difference a Day Makes""";Rob Corn;Shonda Rhimes;May 7, 2009;15.33
101;23;"""Here's to Future Days""";Bill D'Elia;Allan Heinberg;May 14, 2009;15.58
102;24;"""Now or Never""";Rob Corn;Debora Cahn;May 14, 2009;17.12
103;1;"""Good Mourning""";Edward Ornelas;Krista Vernoff;September 24, 2009;17.03
104;2;"""Goodbye""";Bill D'Elia;Krista Vernoff;September 24, 2009;17.03
105;3;"""I Always Feel Like Somebody's Watchin' Me""";Michael Pressman;Tony Phelan & Joan Rater;October 1, 2009;15.69
106;4;"""Tainted Obligation""";Tom Verica;Jenna Bans;October 8, 2009;14.13
107;5;"""Invasion""";Tony Phelan;Mark Wilding;October 15, 2009;13.79
108;6;"""I Saw What I Saw""";Allison Liddi-Brown;William Harper;October 22, 2009;14.67
109;7;"""Give Peace a Chance""";Chandra Wilson;Peter Nowalk;October 29, 2009;13.74
110;8;"""Invest in Love""";Jessica Yu;Stacy McKee;November 5, 2009;13.95
111;9;"""New History""";Rob Corn;Allan Heinberg;November 12, 2009;14.87
112;10;"""Holidaze""";Robert Berlinger;Krista Vernoff;November 19, 2009;14.07
113;11;"""Blink""";Randy Zisk;Debora Cahn;January 14, 2010;12.73
114;12;"""I Like You So Much Better When You're Naked""";Donna Deitch;Tony Phelan & Joan Rater;January 21, 2010;12.65
115;13;"""State of Love and Trust""";Jeannot Szwarc;Stacy McKee;February 4, 2010;12.55
116;14;"""Valentine's Day Massacre""";Stephen Cragg;William Harper;February 11, 2010;12.74
117;15;"""The Time Warp""";Rob Corn;Zoanne Clack;February 18, 2010;10.21
118;16;"""Perfect Little Accident""";Bill D'Elia;Peter Nowalk;March 4, 2010;11.83
119;17;"""Push""";Chandra Wilson;Debora Cahn;March 11, 2010;10.96
120;18;"""Suicide is Painless""";Jeannot Szwarc;Tony Phelan & Joan Rater;March 25, 2010;11.57
121;19;"""Sympathy for the Parents""";Debbie Allen;Allan Heinberg;April 1, 2010;9.87
122;20;"""Hook, Line and Sinner""";Tony Phelan;Meg Marinis;April 29, 2010;10.47
123;21;"""How Insensitive""";Tom Verica;William Harper;May 6, 2010;11.03
124;22;"""Shiny Happy People""";Edward Ornelas;Zoanne Clack & Peter Nowalk;May 13, 2010;11.05
125;23;"""Sanctuary"";""Death And All His Friends""";"Stephen Cragg Rob Corn";Shonda Rhimes;May 20, 2010;13.93
127;1;"""With You I'm Born Again""";Rob Corn;Krista Vernoff;September 23, 2010;14.32
128;2;"""Shock to the System""";Tom Verica;William Harper;September 30, 2010;12.53
129;3;"""Superfreak""";Michael Pressman;Mark Wilding;October 7, 2010;12.75
130;4;"""Can't Fight Biology""";Edward Ornelas;Peter Nowalk;October 14, 2010;12.11
131;5;"""Almost Grown""";Chandra Wilson;Brian Tanen;October 21, 2010;10.97
132;6;"""These Arms of Mine""";Stephen Cragg;Stacy McKee;October 28, 2010;10.79
133;7;"""That's Me Trying""";Tony Phelan;Austin Guzman;November 4, 2010;11.92
134;8;"""Something's Gotta Give""";Jeannot Szwarc;William Harper;November 11, 2010;11.13
135;9;"""Slow Night, So Long""";Rob Bailey;Zoanne Clack;November 18, 2010;11.46
136;10;"""Adrift and at Peace""";Allison Liddi-Brown;Tony Phelan & Joan Rater;December 2, 2010;11.02
137;11;"""Disarm""";Debbie Allen;Krista Vernoff;January 6, 2011;11.64
138;12;"""Start Me Up""";Mark Jackson;Natalie Krinsky;January 13, 2011;12.15
139;13;"""Don't Deceive Me (Please Don't Go)""";Kevin McKidd;Mark Wilding;February 3, 2011;11.18
140;14;"""P.Y.T. (Pretty Young Thing)""";Steve Robin;Austin Guzman;February 10, 2011;10.47
141;15;"""Golden Hour""";Rob Corn;Stacy McKee;February 17, 2011;10.24
142;16;"""Not Responsible""";Debbie Allen;Debora Cahn;February 24, 2011;9.13
143;17;"""This Is How We Do It""";Edward Ornelas;Peter Nowalk;March 24, 2011;10.28
144;18;"""Song Beneath the Song""";Tony Phelan;Shonda Rhimes;March 31, 2011;13.09
145;19;"""It's a Long Way Back""";Steve Robin;William Harper;April 28, 2011;10.67
146;20;"""White Wedding""";Chandra Wilson;Stacy McKee;May 5, 2011;10.11
147;21;"""I Will Survive""";Tom Verica;Zoanne Clack;May 12, 2011;9.63
148;22;"""Unaccompanied Minor""";Rob Corn;Debora Cahn;May 19, 2011;9.89
149;1;"""Free Falling""";Rob Corn;Tony Phelan & Joan Rater;September 22, 2011;10.38
150;2;"""She's Gone""";Tony Phelan;Debora Cahn;September 22, 2011;10.38
151;3;"""Take the Lead""";Chandra Wilson;William Harper;September 29, 2011;10.20
152;4;"""What Is It About Men""";Tom Verica;Stacy McKee;October 6, 2011;8.70
153;5;"""Love, Loss and Legacy""";Stephen Cragg;Denise Hahn;October 13, 2011;9.97
154;6;"""Poker Face""";Kevin McKidd;Peter Nowalk;October 20, 2011;9.54
155;7;"""Put Me In, Coach""";Debbie Allen;Jeannine Renshaw;October 27, 2011;9.93
156;8;"""Heart-Shaped Box""";Jessica Yu;Austin Guzman;November 3, 2011;9.52
157;9;"""Dark Was the Night""";Allison Liddi-Brown;Debora Cahn;November 10, 2011;11.29
158;10;"""Suddenly""";Ron Underwood;Stacy McKee;January 5, 2012;12.12
159;11;"""This Magic Moment""";Steve Robin;Zoanne Clack;January 12, 2012;10.71
160;12;"""Hope for the Hopeless""";Mark Jackson;Peter Nowalk;January 19, 2012;9.42
161;13;"""If/Then""";Jeannot Szwarc;William Harper;February 2, 2012;9.71
162;14;"""All You Need Is Love""";Rob Corn;Jeannine Renshaw;February 9, 2012;10.27
163;15;"""Have You Seen Me Lately?""";Tony Phelan;Austin Guzman;February 16, 2012;8.31
164;16;"""If Only You Were Lonely""";Susan Vaill;Matt Byrne;February 23, 2012;9.06
165;17;"""One Step Too Far""";Edward Ornelas;William Harper;March 15, 2012;9.62
166;18;"""The Lion Sleeps Tonight""";Mark Jackson;Stacy McKee;April 5, 2012;8.19
167;19;"""Support System""";Allison Liddi-Brown;Heather Mitchell;April 12, 2012;8.85
168;20;"""The Girl With No Name""";Ron Underwood;Peter Nowalk;April 19, 2012;9.82
169;21;"""Moment of Truth""";Chandra Wilson;Zakiyyah Alexander;April 26, 2012;9.45
170;22;"""Let the Bad Times Roll""";Kevin McKidd;Matt Byrne;May 3, 2012;9.24
171;23;"""Migration""";Stephen Cragg;Mark Wilding & Jenna Bans;May 10, 2012;9.82
172;24;"""Flight""";Rob Corn;Shonda Rhimes;May 17, 2012;11.44
173;1;"""Going, Going, Gone""";Rob Corn;Stacy McKee;September 27, 2012;11.73
174;2;"""Remember the Time""";Tony Phelan;William Harper;October 4, 2012;10.84
175;3;"""Love the One You're With""";Debbie Allen;Zoanne Clack;October 18, 2012;9.69
176;4;"""I Saw Her Standing There""";Kevin McKidd;Austin Guzman;October 25, 2012;8.76
177;5;"""Beautiful Doom""";Stephen Cragg;Jeannine Renshaw;November 8, 2012;9.26
178;6;"""Second Opinion""";Chandra Wilson;William Harper;November 15, 2012;8.84
179;7;"""I Was Made for Lovin' You""";Laura Innes;Peter Nowalk;November 29, 2012;8.95
180;8;"""Love Turns You Upside Down""";Mark Jackson;Stacy McKee;December 6, 2012;9.10
181;9;"""Run, Baby, Run""";Rob Corn;Debora Cahn;December 13, 2012;8.17
182;10;"""Things We Said Today""";Ron Underwood;Austin Guzman;January 10, 2013;9.34
183;11;"""The End Is the Beginning Is the End""";Cherie Nowlan;Joan Rater;January 17, 2013;8.80
184;12;"""Walking on a Dream""";Rob Hardy;Tia Napolitano;January 24, 2013;9.01
185;13;"""Bad Blood""";Steve Robin;Jeannine Renshaw;January 31, 2013;8.93
186;14;"""The Face of Change""";Rob Greenlea;Stacy McKee;February 7, 2013;8.91
187;15;"""Hard Bargain""";Tony Phelan;William Harper;February 14, 2013;8.57
188;16;"""This Is Why We Fight""";Jeannot Szwarc;Austin Guzman;February 21, 2013;8.75
189;17;"""Transplant Wasteland""";Chandra Wilson;Zoanne Clack;March 14, 2013;8.20
190;18;"""Idle Hands""";David Greenspan;Gabriel Llanas;March 21, 2013;9.39
191;19;"""Can't Fight This Feeling""";Mark Jackson;Meg Marinis;March 28, 2013;9.02
192;20;"""She's Killing Me""";Nicole Rubio;Debora Cahn;April 4, 2013;8.58
193;21;"""Sleeping Monster""";Bobby Roth;Bronwyn Garrity;April 25, 2013;8.24
194;22;"""Do You Believe in Magic?""";Kevin McKidd;Dan Bucatinsky;May 2, 2013;8.87
195;23;"""Readiness is All""";Tony Phelan;William Harper;May 9, 2013;8.97
196;24;"""Perfect Storm""";Rob Corn;Stacy McKee;May 16, 2013;9.00
197;1;"""Seal Our Fate""";Rob Corn;Joan Rater;September 26, 2013;9.27
198;2;"""I Want You with Me""";Chandra Wilson;Debora Cahn;September 26, 2013;9.27
199;3;"""Everybody's Crying Mercy""";Tony Phelan;Tia Napolitano;October 3, 2013;9.60
200;4;"""Puttin' On the Ritz""";Rob Corn;Austin Guzman;October 10, 2013;8.79
201;5;"""I Bet It Stung""";Mark Jackson;Jeannine Renshaw;October 17, 2013;8.78
202;6;"""Map of You""";David Greenspan;William Harper;October 24, 2013;8.73
203;7;"""Thriller""";Cherie Nowlan;Gabriel Llanas;October 31, 2013;8.94
204;8;"""Two Against One""";Kevin McKidd;Meg Marinis;November 7, 2013;8.68
205;9;"""Sorry Seems to Be the Hardest Word""";Jeannot Szwarc;Stacy McKee;November 14, 2013;8.56
206;10;"""Somebody That I Used to Know""";Debbie Allen;Debora Cahn;November 21, 2013;8.61
207;11;"""Man on the Moon""";Bobby Roth;Elizabeth J. B. Klaviter;December 5, 2013;7.02
208;12;"""Get Up, Stand Up""";Tony Phelan;William Harper;December 12, 2013;8.36
209;13;"""Take It Back""";Rob Corn;Austin Guzman;February 27, 2014;9.42
210;14;"""You've Got to Hide Your Love Away""";Ron Underwood;Tia Napolitano;March 6, 2014;8.21
211;15;"""Throwing It All Away""";Chris Hayden;William Harper;March 13, 2014;7.36
212;16;"""We Gotta Get Out of This Place""";Susan Vaill;Jeannine Renshaw;March 20, 2014;8.09
213;17;"""Do You Know?""";Chandra Wilson;Stacy McKee;March 27, 2014;8.42
214;18;"""You Be Illin'""";Nicole Rubio;Zoanne Clack;April 3, 2014;8.28
215;19;"""I'm Winning""";Kevin McKidd;Joan Rater;April 10, 2014;8.18
216;20;"""Go It Alone""";Mark Jackson;Lauren Barnett;April 17, 2014;8.45
217;21;"""Change of Heart""";Rob Greenlea;Meg Marinis;April 24, 2014;7.99
218;22;"""We Are Never Ever Getting Back Together""";Rob Corn;Joan Rater;May 1, 2014;8.81
219;23;"""Everything I Try to Do, Nothing Seems to Turn Out Right""";Bill D'Elia;Austin Guzman;May 8, 2014;7.95
220;24;"""Fear (Of the Unknown)""";Tony Phelan;William Harper;May 15, 2014;8.92
221;1;"""I Must Have Lost it on the Wind""";Kevin McKidd;Stacy McKee;September 25, 2014;9.81
222;2;"""Puzzle with a Piece Missing""";Rob Corn;William Harper;October 2, 2014;9.15
223;3;"""Got to Be Real""";Rob Corn;Zoanne Clack;October 9, 2014;8.48
224;4;"""Only Mama Knows""";Nicole Rubio;Mark Driscoll;October 16, 2014;8.43
225;5;"""Bend & Break""";Jesse Bochco;Meg Marinis;October 23, 2014;8.62
226;6;"""Don't Let's Start""";Rob Greenlea;Austin Guzman;November 6, 2014;8.08
227;7;"""Could We Start Again, Please?""";Bobby Roth;Andy Reaser;November 13, 2014;8.36
228;8;"""Risk""";Rob Corn;William Harper;November 20, 2014;8.33
229;9;"""Where Do We Go From Here""";Debbie Allen;Meg Marinis;January 29, 2015;8.71
230;10;"""The Bed's Too Big Without You""";Chandra Wilson;Tia Napolitano;February 5, 2015;7.98
231;11;"""All I Could Do Was Cry""";Ron Underwood;Elizabeth J.B. Klaviter;February 12, 2015;7.81
232;12;"""The Great Pretender""";Jeannot Szwarc;Mark Driscoll;February 19, 2015;8.13
233;13;"""Staring at the End""";Mark Jackson;Stacy McKee;February 26, 2015;7.56
234;14;"""The Distance""";Eric Laneuville;Austin Guzman;March 5, 2015;8.09
235;15;"""I Feel the Earth Move""";Thomas J. Wright;Jen Klein;March 12, 2015;7.40
236;16;"""Don't Dream It's Over""";Susan Vaill;Andy Reaser;March 19, 2015;7.73
237;17;"""With or Without You""";Chandra Wilson;Elisabeth R. Finch;March 26, 2015;8.18
238;18;"""When I Grow Up""";Zetna Fuentes;Tia Napolitano;April 2, 2015;6.64
239;19;"""Crazy Love""";Paul McCrane;Elizabeth J.B. Klaviter;April 9, 2015;7.42
240;20;"""One Flight Down""";David Greenspan;Austin Guzman;April 16, 2015;7.60
241;21;"""How to Save a Life""";Rob Hardy;Shonda Rhimes;April 23, 2015;9.55
242;22;"""She's Leaving Home""";Chris Hayden;Stacy McKee;April 30, 2015;8.74
244;24;"""Time Stops""";Kevin McKidd;Meg Marinis;May 7, 2015;7.74
245;25;"""You're My Home""";Rob Corn;William Harper;May 14, 2015;8.33
246;1;"""Sledgehammer""";Kevin McKidd;Stacy McKee;September 24, 2015;9.55
247;2;"""Walking Tall""";Debbie Allen;Meg Marinis;October 1, 2015;8.58
248;3;"""I Choose You""";Rob Corn;William Harper;October 8, 2015;8.12
249;4;"""Old Time Rock and Roll""";Nicole Rubio;Austin Guzman;October 15, 2015;8.25
250;5;"""Guess Who's Coming to Dinner""";Debbie Allen;Mark Driscoll;October 22, 2015;8.96
251;6;"""The Me Nobody Knows""";Jeannot Szwarc;Karin Gist;November 5, 2015;8.50
252;7;"""Something Against You""";Geary McLeod;Andy Reaser;November 12, 2015;8.02
253;8;"""Things We Lost in the Fire""";Rob Corn;Tia Napolitano;November 19, 2015;8.50
254;9;"""The Sound of Silence""";Denzel Washington;Stacy McKee;February 11, 2016;8.28
255;10;"""All I Want Is You""";Kevin Sullivan;Elisabeth R. Finch;February 18, 2016;7.82
256;11;"""Unbreak My Heart""";Rob Corn;Elizabeth J.B. Klaviter;February 25, 2016;7.23
257;12;"""My Next Life""";Chandra Wilson;William Harper;March 3, 2016;7.67
258;13;"""All Eyez on Me""";Charlotte Brandström;Austin Guzman;March 10, 2016;7.53
259;14;"""Odd Man Out""";Kevin McKidd;Meg Marinis;March 17, 2016;7.83
260;15;"""I Am Not Waiting Anymore""";Nicole Rubio;Mark Driscoll;March 24, 2016;7.91
261;16;"""When It Hurts So Bad""";Eric Laneuville;Andy Reaser;March 31, 2016;7.77
262;17;"""I Wear the Face""";Chandra Wilson;Karin Gist;April 7, 2016;7.35
263;18;"""There's a Fine, Fine Line""";Jeannot Szwarc;Jen Klein;April 14, 2016;7.97
264;19;"""It's Alright, Ma (I'm Only Bleeding)""";Chris Hayden;Austin Guzman;April 14, 2016;7.97
265;20;"""Trigger Happy""";Zetna Fuentes;Zoanne Clack;April 21, 2016;7.65
266;21;"""You're Gonna Need Someone on Your Side""";Debbie Allen;Lauren Barnett;April 28, 2016;7.91
267;22;"""Mama Tried""";Kevin McKidd;Tia Napolitano;May 5, 2016;7.66
268;23;"""At Last""";Rob Corn;Stacy McKee;May 12, 2016;7.77
269;24;"""Family Affair""";Debbie Allen;William Harper;May 19, 2016;8.19
270;1;"""Undo""";Debbie Allen;William Harper;September 22, 2016;8.75
271;2;"""Catastrophe and the Cure""";Kevin McKidd;Karin Gist;September 29, 2016;8.41
272;3;"""I Ain't No Miracle Worker""";Rob Corn;Andy Reaser;October 6, 2016;8.08
273;4;"""Falling Slowly""";Victoria Mahoney;Jen Klein;October 13, 2016;7.80
274;5;"""Both Sides Now""";Chandra Wilson;Mark Driscoll;October 20, 2016;8.17
275;6;"""Roar""";Nicole Rubio;Elizabeth J.B. Klaviter;October 27, 2016;8.17
276;7;"""Why Try to Change Me Now""";Jeannot Szwarc;Austin Guzman;November 3, 2016;7.60
277;8;"""The Room Where It Happens""";Debbie Allen;Meg Marinis;November 10, 2016;7.25
278;9;"""You Haven't Done Nothin'""";Rob Corn;Karin Gist;November 17, 2016;8.04
279;10;"""You Can Look (But You'd Better Not Touch)""";Jann Turner;Tia Napolitano;January 26, 2017;9.59
280;11;"""Jukebox Hero""";Kevin Rodney Sullivan;Zoanne Clack;February 2, 2017;8.49
281;12;"""None of Your Business""";Geary McLeod;Andy Reaser;February 9, 2017;8.46
282;13;"""It Only Gets Much Worse""";Jeannot Szwarc;Lauren Barnett;February 16, 2017;7.68
283;14;"""Back Where You Belong""";Oliver Bokelberg;Jen Klein;February 23, 2017;7.71
284;15;"""Civil War""";Nicole Rubio;Elizabeth J.B. Klaviter;March 9, 2017;7.31
285;16;"""Who Is He (And What Is He to You)?""";Kevin McKidd;Elisabeth R. Finch;March 16, 2017;7.90
286;17;"""'Til I Hear It From You""";Kevin McKidd;Austin Guzman;March 23, 2017;7.80
287;18;"""Be Still, My Soul""";Ellen Pompeo;Meg Marinis;March 30, 2017;7.62
288;19;"""What's Inside""";Nzingha Stewart;Tia Napolitano;April 6, 2017;7.23
289;20;"""In the Air Tonight""";Chandra Wilson;Stacy McKee;April 13, 2017;7.06
290;21;"""Don't Stop Me Now""";Louis Venosta;Andy Reaser;April 27, 2017;7.02
291;22;"""Leave It Inside""";Zetna Fuentes;Elisabeth R. Finch;May 4, 2017;7.09
292;23;"""True Colors""";Kevin McKidd;William Harper;May 11, 2017;7.02
293;24;"""Ring of Fire""";Debbie Allen;Stacy McKee;May 18, 2017;7.92
294;1;"""Break Down the House""";Debbie Allen;Krista Vernoff;September 28, 2017;8.07
295;2;"""Get Off on the Pain""";Kevin McKidd;Krista Vernoff;September 28, 2017;8.07
296;3;"""Go Big or Go Home""";Chandra Wilson;Meg Marinis;October 5, 2017;8.06
297;4;"""Ain't That a Kick in the Head?""";Geary McLeod;Marlana Hope;October 12, 2017;8.08
298;5;"""Danger Zone""";Cecilie Mosli;Jalysa Conway;October 26, 2017;7.67
299;6;"""Come on Down to My Boat, Baby""";Lisa Leone;Kiley Donovan;November 2, 2017;7.38
300;7;"""Who Lives, Who Dies, Who Tells Your Story""";Debbie Allen;Krista Vernoff;November 9, 2017;8.13
301;8;"""Out of Nowhere""";Kevin McKidd;William Harper;November 16, 2017;7.52
302;9;"""1-800-799-7233"";""Four Seasons in One Day""";Bill D'Elia;Andy Reaser;January 18, 2018;8.27
303;10;"""Personal Jesus""";Kevin Sullivan;Zoanne Clack;January 25, 2018;8.62
304;11;"""(Don't Fear) the Reaper""";Nicole Rubio;Elisabeth R. Finch;February 1, 2018;8.93
